code,name,pe,pb,eps
NLST,Netlist,0.0,-3.74669,-0.182395
IPCI,Intellipharmaceutics Internation,0.0,-17.907302,-0.35
LINK,"Interlink Electronics, Inc",44.374882,3.651963,0.112451
BLPH,"Bellerophon Therapeutics, Inc.",0.0,-7.423501,-0.819456
IPDN,Professional Diversity Network,0.0,1.84668,-2.768344
OKTA,Okta Inc.,0.0,31.275675,-0.930472
NVUS,"Novus Therapeutics, Inc.",0.0,1.992783,-1.091358
YVR,Leading Brands Inc,0.0,-60.351988,-0.199031
MCFT,"MCBC Holdings, Inc.",19.604775,12.297604,1.763346
SHLO,Shiloh Industries,44.920386,1.181402,0.224397
MOXC,魔线,0.0,-9.987633,-0.126877
SRRK,Scholar Rock Holding Corp,0.0,5.190683,-13.247031
DRNA,"Dicerna Pharmaceuticals, Inc.",0.0,12.143778,-2.799115
BLFS,BioLife Solutions Inc.,0.0,17.747237,-0.018265
FIVE,Five Below,62.462512,14.334705,2.095497
KBLMR,KBL Merger Corp IV,0.0,0.0,0.0
GRIN,Grindrod Shipping Holdings Ltd.,0.0,0.540268,-602.386353
ZEAL,Zealand Pharma A/S,0.0,9.54116,-2.009216
RNET,RigNet,0.0,3.703797,-1.087047
ZS,Zscaler Inc.,0.0,22.926995,-0.625819
NITE,Nightstar Therapeutics PLC,0.0,6.572445,-1.786162
GALT,Galectin Therapeutics Inc,0.0,296.289886,-0.428898
CRNX,Crinetics Pharmaceuticals Inc.,0.0,-34.952837,-8.61883
KRYS,Krystal Biotech Inc.,0.0,4.571416,-1.547872
ASV,"ASV Holdings, Inc.",0.0,0.938617,-0.038033
NDRA,ENDRA Life Sciences Inc,0.0,5.21614,-1.528459
ONCY,Oncolytics Biotech,0.0,0.0,-0.12
DAIO,Data I/O Corporation,11.932972,2.095101,0.471802
CLMT,卡路美,0.0,9.869852,-2.065458
IMI,Intermolecular,0.0,1.851887,-0.037097
KONE,联合信息,0.0,0.532671,-0.464769
PDFS,PDF Solutions,0.0,1.421535,-0.142533
KMPH,"KemPharm, Inc.",0.0,-0.993685,-3.826613
ALLK,Allakos Inc.,0.0,-26.071694,-16.164455
XENE,Xenon Pharmaceuticals,0.0,9.531946,-1.541517
SHLD,西尔斯,0.0,-0.044241,-9.77748
AVGO,安华高科技,8.772154,3.542832,26.513443
